name,description,ownerV2/__typename,ownerV2/data/__typename,ownerV2/data/name,ownerV2/data/uri,ownerV2/data/username,playlistUrl,uri
Mariachi Funeral Songs,,UserResponseWrapper,User,Esmeralda,spotify:user:a70zghuakfdy0arksv3iypos3,a70zghuakfdy0arksv3iypos3,https://open.spotify.com/playlist/4FPiTqf91FtshUWuXRHiSK,spotify:playlist:4FPiTqf91FtshUWuXRHiSK
Funeral Marches,Funeral marches recorded by brass bands and orchestra ,UserResponseWrapper,User,Ruben Queck,spotify:user:fridericus_rex1741,fridericus_rex1741,https://open.spotify.com/playlist/7muPs9YCYFA3sm12cba190,spotify:playlist:7muPs9YCYFA3sm12cba190
songs for my funeral,"Shoegaze&#x2F;Nu-Metal Playlist including: Deftones, Whirr, Glare, Quannnic, Superheaven, Loathe  and many more",UserResponseWrapper,User,exlife,spotify:user:57rckz4wlkp86cc46yy3xyzr1,57rckz4wlkp86cc46yy3xyzr1,https://open.spotify.com/playlist/5j9qg3hKfGDliT7bdg3fPw,spotify:playlist:5j9qg3hKfGDliT7bdg3fPw
Funeral Doom Metal,,UserResponseWrapper,User,2162sozennhrdjh4d6xza7yaq,spotify:user:2162sozennhrdjh4d6xza7yaq,2162sozennhrdjh4d6xza7yaq,https://open.spotify.com/playlist/5GJJfhhifLH4RpxROr47vh,spotify:playlist:5GJJfhhifLH4RpxROr47vh
NO QUIERO FUNERAL,,UserResponseWrapper,User,hermilo,spotify:user:31u7hsz5ljvyzipnaz32woq44xom,31u7hsz5ljvyzipnaz32woq44xom,https://open.spotify.com/playlist/2d7mkdTWeaw4qfMcbniO59,spotify:playlist:2d7mkdTWeaw4qfMcbniO59
This Is Funeral For A Friend,"This is Funeral For A Friend. The essential tracks, all in one playlist.",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1DZ06evO2Gwh1O,spotify:playlist:37i9dQZF1DZ06evO2Gwh1O
Music for the funeral of queen mary,,UserResponseWrapper,User,Kushagra T,spotify:user:ukhnwoyzhi7b4rdn59sqxvst7,ukhnwoyzhi7b4rdn59sqxvst7,https://open.spotify.com/playlist/3sTWUnzn224PUawI4BIVIT,spotify:playlist:3sTWUnzn224PUawI4BIVIT
Putting the fun in funeral,,UserResponseWrapper,User,The Lorax 🌳🧡,spotify:user:313mp7tolh62wl4a3wzqpyy5csjm,313mp7tolh62wl4a3wzqpyy5csjm,https://open.spotify.com/playlist/5ZGAfuGCkpBzLPi6arRwCP,spotify:playlist:5ZGAfuGCkpBzLPi6arRwCP
Soft Instrumental Music for a Christian Funeral,"A selection of instrumental hymns and worship songs, ideal as background music for a funeral service or anywhere gentle music is needed.",UserResponseWrapper,User,joshuapthomas,spotify:user:joshuapthomas,joshuapthomas,https://open.spotify.com/playlist/2gKqMWh7nrLACRc2wdzFTY,spotify:playlist:2gKqMWh7nrLACRc2wdzFTY
A Clockwork Orange Soundtrack,,UserResponseWrapper,User,Amaya García,spotify:user:larubiaesti,larubiaesti,https://open.spotify.com/playlist/2l5BVo12TlrAD4jBTtxdHq,spotify:playlist:2l5BVo12TlrAD4jBTtxdHq
A Clockwork Orange (1971) - OST Original Soundtrack,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn&#x27;t go as planned.",UserResponseWrapper,User,Alena FILMGEEKMCGEE,spotify:user:1296713740,1296713740,https://open.spotify.com/playlist/4IjudSaU3uopCCwenC14gh,spotify:playlist:4IjudSaU3uopCCwenC14gh
pov: my FUNeral,,UserResponseWrapper,User,bruq,spotify:user:sz47gysipgim3usppeftmg7yj,sz47gysipgim3usppeftmg7yj,https://open.spotify.com/playlist/0aOXcgZBRA1mp0rlJRExz5,spotify:playlist:0aOXcgZBRA1mp0rlJRExz5
Funeral ,,UserResponseWrapper,User,ernest1195,spotify:user:ernest1195,ernest1195,https://open.spotify.com/playlist/7tReqjvIAaXMclKXe7ImzK,spotify:playlist:7tReqjvIAaXMclKXe7ImzK
"Nile, Suffocation, Immolation, Bloodbath, Necrophagist, Belphegor, Massacre, Deicide, Dark Funeral","This is The best of DEATH METAL mix radio hits of DEATH METAL playlist 2025.mixtape, latest release 1",UserResponseWrapper,User,🤟 METAL PLAYLISTS 🤟,spotify:user:31axxmqevxzb3q7p7hypsh4xcdwi,31axxmqevxzb3q7p7hypsh4xcdwi,https://open.spotify.com/playlist/2xwsVRCVQKNjStANSMmB1A,spotify:playlist:2xwsVRCVQKNjStANSMmB1A
Funeral Balloons Radio,"With Wind Walkers, Nevertel, Dayseeker and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8KJXdi2mChzX,spotify:playlist:37i9dQZF1E8KJXdi2mChzX
Funeral music 💀,,UserResponseWrapper,User,Magdaléna Pavelková,spotify:user:21pssrtivuedbzpp2hjsrjbhi,21pssrtivuedbzpp2hjsrjbhi,https://open.spotify.com/playlist/46mfQIt8rmA39bRp3StANv,spotify:playlist:46mfQIt8rmA39bRp3StANv
Funeral ,,UserResponseWrapper,User,New life,spotify:user:ljlhyx0513o69aqbs05t3c5bq,ljlhyx0513o69aqbs05t3c5bq,https://open.spotify.com/playlist/5sytmuBJwf66qLHkF6Yw7y,spotify:playlist:5sytmuBJwf66qLHkF6Yw7y
Funeral Singers – Sylvan Esso 2,,UserResponseWrapper,User,annahouse55,spotify:user:annahouse55,annahouse55,https://open.spotify.com/playlist/0o9uY8h9zjRamnv5iYgW8e,spotify:playlist:0o9uY8h9zjRamnv5iYgW8e
Funeral,Watch the Party Die,UserResponseWrapper,User,yahyamemon,spotify:user:qfx6odw4sorf21pvjvdpnvnd6,qfx6odw4sorf21pvjvdpnvnd6,https://open.spotify.com/playlist/343vpp4SLDZvjqBBXP9Odr,spotify:playlist:343vpp4SLDZvjqBBXP9Odr
funeral,"and i wish I didnt care, but I thought she was pretty cool",UserResponseWrapper,User,.Pl0t,spotify:user:0aydilphwvzmzjhaw34qkg1gl,0aydilphwvzmzjhaw34qkg1gl,https://open.spotify.com/playlist/0jukzIaNQpu5oguJjf5tGs,spotify:playlist:0jukzIaNQpu5oguJjf5tGs
Funeral,,UserResponseWrapper,User,Siggy,spotify:user:trnyntd2fjfm10iii1ww5jjiy,trnyntd2fjfm10iii1ww5jjiy,https://open.spotify.com/playlist/6HYh5lrR5kUEZgvAAVLc4Y,spotify:playlist:6HYh5lrR5kUEZgvAAVLc4Y
Music for my funeral r.i.p.😔🕊️⚰️,,UserResponseWrapper,User,Sara,spotify:user:2l2khfrmm226qavtth3fz3sqk,2l2khfrmm226qavtth3fz3sqk,https://open.spotify.com/playlist/5EpZV7JoBbTc977v8qtLt5,spotify:playlist:5EpZV7JoBbTc977v8qtLt5
funeral,,UserResponseWrapper,User,finn,spotify:user:qk79y93jfz80b27hgcsrvm7xv,qk79y93jfz80b27hgcsrvm7xv,https://open.spotify.com/playlist/5LMyzwL4FKMU4xVE05LmDD,spotify:playlist:5LMyzwL4FKMU4xVE05LmDD
daily funeral,,UserResponseWrapper,User,kxl,spotify:user:xyc9syk7py0cdvskg6ekn0spi,xyc9syk7py0cdvskg6ekn0spi,https://open.spotify.com/playlist/77sxRYLKewYe80K3OcGPXW,spotify:playlist:77sxRYLKewYe80K3OcGPXW
funeral playlist,crank this shit when i’m dead,UserResponseWrapper,User,ᵍⁱᵍⁱ ✧,spotify:user:22jaethtj377576fm6kvqdnba,22jaethtj377576fm6kvqdnba,https://open.spotify.com/playlist/5jG3MSJk8vPq9HF3O2jvu6,spotify:playlist:5jG3MSJk8vPq9HF3O2jvu6
funeral,,UserResponseWrapper,User,sango74,spotify:user:sango74,sango74,https://open.spotify.com/playlist/6tiAfq6piZBDOmUuawuIyM,spotify:playlist:6tiAfq6piZBDOmUuawuIyM
Electric Funeral - 2012 - Remaster Radio,"With Black Sabbath, Led Zeppelin, Iron Maiden and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8IWQbxqJVdzA,spotify:playlist:37i9dQZF1E8IWQbxqJVdzA
Funeral Soundtrack ,God approved this playlist,UserResponseWrapper,User,maybe cc,spotify:user:68jiaq1g7sbxredg2fnxmg1n7,68jiaq1g7sbxredg2fnxmg1n7,https://open.spotify.com/playlist/2LI63o7NRcbsWMIx8nYZju,spotify:playlist:2LI63o7NRcbsWMIx8nYZju
darkwave dance party,alternatively “the funeral party” a playlist of gothic electronic &amp; darkwave songs to sway to.,UserResponseWrapper,User,sean,spotify:user:vqeexbac3afmn4l8rxqfx78rk,vqeexbac3afmn4l8rxqfx78rk,https://open.spotify.com/playlist/6JPx287QpU9Oe2nN2zKy6L,spotify:playlist:6JPx287QpU9Oe2nN2zKy6L
Hymns for Funerals,,UserResponseWrapper,User,Carol,spotify:user:mshuevd2p5eidqcfb6tjdbcxs,mshuevd2p5eidqcfb6tjdbcxs,https://open.spotify.com/playlist/3KQ9MuNpOhDcHLw2a3Bv9k,spotify:playlist:3KQ9MuNpOhDcHLw2a3Bv9k
funeral,Ryuichi’s Last Playlist. We would like to share the playlist that Ryuichi had been privately compiling to be played at his own funeral to accompany his own passing. He truly was with music until the very end.,UserResponseWrapper,User,Ryuichi Sakamoto,spotify:user:ryuichisakamoto,ryuichisakamoto,https://open.spotify.com/playlist/31OIme0YdF4ORWvEdTyE6V,spotify:playlist:31OIme0YdF4ORWvEdTyE6V
Funeral Songs for Grandmother,,UserResponseWrapper,User,Amanda,spotify:user:1246202823,1246202823,https://open.spotify.com/playlist/2Q6ExlIu2Fqtzj5eSOf1yh,spotify:playlist:2Q6ExlIu2Fqtzj5eSOf1yh
Funeral for the Living,"fine then, turn up the volume",UserResponseWrapper,User,gopher,spotify:user:460mmb9e3d3f7efxjoz661czy,460mmb9e3d3f7efxjoz661czy,https://open.spotify.com/playlist/5C52HXgj9R9sBNV5tvBKvl,spotify:playlist:5C52HXgj9R9sBNV5tvBKvl
Funeral Music - Soft Piano Compilation,,UserResponseWrapper,User,calvaryworshiprv,spotify:user:calvaryworshiprv,calvaryworshiprv,https://open.spotify.com/playlist/4URPxB18GdkATr4u387C3p,spotify:playlist:4URPxB18GdkATr4u387C3p
Military Funeral Music,,UserResponseWrapper,User,Reggie Russell,spotify:user:12126005675,12126005675,https://open.spotify.com/playlist/2B1UnErWgHp4uU1mCFRR8D,spotify:playlist:2B1UnErWgHp4uU1mCFRR8D
Funeral - Christian Instrumental Piano Playlist,,UserResponseWrapper,User,Turning Point Sunday Playlists,spotify:user:31dymuzbvwx7c362ffahdnh6oyyq,31dymuzbvwx7c362ffahdnh6oyyq,https://open.spotify.com/playlist/4C0jCv8hqiu6H4nEe7Z0lL,spotify:playlist:4C0jCv8hqiu6H4nEe7Z0lL
TURN UP THE MUSIC THIS IS A FUNERAL FOR THE LIVING,,UserResponseWrapper,User,Kuroro27,spotify:user:31wj434ssvlpjwlpijextg3nsvc4,31wj434ssvlpjwlpijextg3nsvc4,https://open.spotify.com/playlist/7FNm6WKb1fabrevvfOX2np,spotify:playlist:7FNm6WKb1fabrevvfOX2np
Music for the funeral of HM Queen Elizabeth II,,UserResponseWrapper,User,Jason Blum,spotify:user:1236835045,1236835045,https://open.spotify.com/playlist/3VxuIyENMQ4JFjCZca7OOQ,spotify:playlist:3VxuIyENMQ4JFjCZca7OOQ
Classic Rock Funeral Playlist,LN Hughes Funeral Services Classic Rock Funeral Playlist,UserResponseWrapper,User,LN Hughes,spotify:user:j30xuuvqiwgut15izmd3jeh00,j30xuuvqiwgut15izmd3jeh00,https://open.spotify.com/playlist/10AsdyXtRrQIUWLMX1JqkH,spotify:playlist:10AsdyXtRrQIUWLMX1JqkH
devotion: THE FUNERAL PORTRAIT,this is THE FUNERAL PORTRAIT,UserResponseWrapper,User,Lee Jennings,spotify:user:1230410425,1230410425,https://open.spotify.com/playlist/1tJ8U2c7UVabTFYc3OilDS,spotify:playlist:1tJ8U2c7UVabTFYc3OilDS
Play This At My Funeral,Listen to the latest from Lil Skies – #LOADR2 loading soon! 🖤🥀,UserResponseWrapper,User,Lil Skies,spotify:user:4qf0e6nroduu0f61eiwe8bu52,4qf0e6nroduu0f61eiwe8bu52,https://open.spotify.com/playlist/6ICKbEG0Vp17NxCt2VigXR,spotify:playlist:6ICKbEG0Vp17NxCt2VigXR
Funeral List,,UserResponseWrapper,User,DAVY,spotify:user:david.nkeonyeala1,david.nkeonyeala1,https://open.spotify.com/playlist/0bd0PEOOGdSwMYGA75Fczy,spotify:playlist:0bd0PEOOGdSwMYGA75Fczy
This Is funeral,"This is funeral. The essential tracks, all in one playlist.",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1DZ06evO1Stm5r,spotify:playlist:37i9dQZF1DZ06evO1Stm5r
Four Weddings and a Funeral (1994) Original Soundtrack (re-mix),,UserResponseWrapper,User,Zrnie,spotify:user:tejadae-us,tejadae-us,https://open.spotify.com/playlist/12RIBg3COVSKFtIJtiqMqi,spotify:playlist:12RIBg3COVSKFtIJtiqMqi
Funeral Songs (Hip Hop),,UserResponseWrapper,User,Bae,spotify:user:22danu6tou3igwhnvawx6vyoi,22danu6tou3igwhnvawx6vyoi,https://open.spotify.com/playlist/5c6BDGEVWGn6z6VVZ0eYqm,spotify:playlist:5c6BDGEVWGn6z6VVZ0eYqm
"The ""Fun"" in ""Funeral""",The playlist I listen to when writing my funky little Dead on Main fics :),UserResponseWrapper,User,PhantomsKeep,spotify:user:9r3uem1cfh3rynvpls7e7tx5n,9r3uem1cfh3rynvpls7e7tx5n,https://open.spotify.com/playlist/0HCHiGskTkpmvw8yl9rj6U,spotify:playlist:0HCHiGskTkpmvw8yl9rj6U
Funeral Playlist,,UserResponseWrapper,User,spanky01212,spotify:user:spanky01212,spanky01212,https://open.spotify.com/playlist/6JTHVCLtUSVUwxqoFXKqC3,spotify:playlist:6JTHVCLtUSVUwxqoFXKqC3
"Songs about death, loss and grief",,UserResponseWrapper,User,Fog Honour,spotify:user:kdqoy71697dvq7q30l3jmn1kn,kdqoy71697dvq7q30l3jmn1kn,https://open.spotify.com/playlist/0emy5VfOb3iFVPKb23aEP6,spotify:playlist:0emy5VfOb3iFVPKb23aEP6
songs for my funeral,my birth was a mistake,UserResponseWrapper,User,timutar,spotify:user:aqw3s9c8pwyb80pn6u3vutxiy,aqw3s9c8pwyb80pn6u3vutxiy,https://open.spotify.com/playlist/4gd6bimfnNUQf8WEn3cZUL,spotify:playlist:4gd6bimfnNUQf8WEn3cZUL
The Funeral Mix (Vol ll),,UserResponseWrapper,User,QuackOffNerd,spotify:user:31iv2momaellqpiwlzyetod6caci,31iv2momaellqpiwlzyetod6caci,https://open.spotify.com/playlist/5hg7YrXwyXHGnBBY7ApQoI,spotify:playlist:5hg7YrXwyXHGnBBY7ApQoI
funeral playlist #1,im cool,UserResponseWrapper,User,s1n3,spotify:user:31onyu3fyi3hmyoz5meywjo3unh4,31onyu3fyi3hmyoz5meywjo3unh4,https://open.spotify.com/playlist/0WRsPgjfjJ09LqeW0vLfic,spotify:playlist:0WRsPgjfjJ09LqeW0vLfic
FUNERAL PLAYLIST ,play this shi when i die and fuck all yall feeings,UserResponseWrapper,User,Shithead,spotify:user:deepez007,deepez007,https://open.spotify.com/playlist/4etUa16q1skc74eqga4YG3,spotify:playlist:4etUa16q1skc74eqga4YG3
Missing someone in heaven. Country addition ,,UserResponseWrapper,User,Wolf_girl736,spotify:user:4k0wd3mqxalrrkgy7lqrx7s8w,4k0wd3mqxalrrkgy7lqrx7s8w,https://open.spotify.com/playlist/0JSfgCSsvIHuU2qcMLrrmn,spotify:playlist:0JSfgCSsvIHuU2qcMLrrmn
funeral music ,,UserResponseWrapper,User,mason_bosak,spotify:user:eatyacheese1209,eatyacheese1209,https://open.spotify.com/playlist/491tqzAWrNUO8qn5iXQ9jy,spotify:playlist:491tqzAWrNUO8qn5iXQ9jy
Funeral For A Friend / Love Lies Bleeding - Remastered 2014 Radio,"With Elton John, Billy Joel, Steely Dan and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8EvnAD0belWo,spotify:playlist:37i9dQZF1E8EvnAD0belWo
funeral of a pretty girliepop,toki,UserResponseWrapper,User,n𖦹t ike✮,spotify:user:3fh1hkbf7pgidgz1ynpgioaup,3fh1hkbf7pgidgz1ynpgioaup,https://open.spotify.com/playlist/0NzJpvyHJ8fcyzlRh81pAs,spotify:playlist:0NzJpvyHJ8fcyzlRh81pAs
The Best of Church Organ Hymns,"Church songs for all Christian groups. Traditional, Classical and Modern pieces for choir and organ. Weddings, Funerals, Carols, Praise, or a nice way to be uplifted. Different versions of some Hymns are included.  Spread God&#x27;s Word!",UserResponseWrapper,User,Cleavus,spotify:user:frrresncpknfcght6pdbpsp56,frrresncpknfcght6pdbpsp56,https://open.spotify.com/playlist/7qjJA41muf1eYkvr1ISr6u,spotify:playlist:7qjJA41muf1eYkvr1ISr6u
Alienation Tour Full Setlist,"Including The Funeral Portrait, I Prevail, and Three Days Grace                  (Not Including Non Pre-Done Covers)",UserResponseWrapper,User,Vin,spotify:user:31y7j5lwzibt6qc7meh5xtyvgmqq,31y7j5lwzibt6qc7meh5xtyvgmqq,https://open.spotify.com/playlist/2RRlwXGFO22FaGYg6Gfcji,spotify:playlist:2RRlwXGFO22FaGYg6Gfcji
sad mcr songs for that mood,for crying on the bathroom floor and your personal funeral party,UserResponseWrapper,User,creature,spotify:user:scorpiofrnk,scorpiofrnk,https://open.spotify.com/playlist/2HbgirK58gfsWiiklIzRPe,spotify:playlist:2HbgirK58gfsWiiklIzRPe
funeral Mix,"<a href=spotify:playlist:37i9dQZF1EIVEklriaUO0T>twikipedia</a>, <a href=spotify:playlist:37i9dQZF1EIX10f8o7B77U>Lei</a> and <a href=spotify:playlist:37i9dQZF1EIXRsdbx4kyfx>Pitfall</a>",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1EIX742EIU1xu3,spotify:playlist:37i9dQZF1EIX742EIU1xu3
Songs to not play at a funeral,,UserResponseWrapper,User,Gallagher,spotify:user:31bpdgt37n3l23auqs7z2bdtzo7i,31bpdgt37n3l23auqs7z2bdtzo7i,https://open.spotify.com/playlist/4Nl26ybq36Fef2n1WQmupg,spotify:playlist:4Nl26ybq36Fef2n1WQmupg
funeral Radio,"With Lei, trevmas, twikipedia and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E4qzYyxvrmFYy,spotify:playlist:37i9dQZF1E4qzYyxvrmFYy
Play them Blues at my Funeral,,UserResponseWrapper,User,Angie Arnold,spotify:user:31e4zvwjupmqizt5ndaqp4hgju5q,31e4zvwjupmqizt5ndaqp4hgju5q,https://open.spotify.com/playlist/4io3SI0NX7Fk4QVhLln4GH,spotify:playlist:4io3SI0NX7Fk4QVhLln4GH
Canciones para un funeral mexicano,,UserResponseWrapper,User,Ismael Mejia,spotify:user:314q22tk7meuz5ah644sobmb2kzy,314q22tk7meuz5ah644sobmb2kzy,https://open.spotify.com/playlist/4QEtq5TsCx0iWfHA4jR7o3,spotify:playlist:4QEtq5TsCx0iWfHA4jR7o3
Musica cristiana para funeral,,UserResponseWrapper,User,Melchoryestelita,spotify:user:31b4veedkz2j2gbe543uk7jxoilm,31b4veedkz2j2gbe543uk7jxoilm,https://open.spotify.com/playlist/3IhzLQ09NdRXmoNpak5EB8,spotify:playlist:3IhzLQ09NdRXmoNpak5EB8
Catholic funeral songs,,UserResponseWrapper,User,mpaschen,spotify:user:mpaschen,mpaschen,https://open.spotify.com/playlist/3m7azXtgqTzVohE9FMIvPK,spotify:playlist:3m7azXtgqTzVohE9FMIvPK
Hymns for Funerals,"Music is an important part of any funeral service. With this in mind, we have put together nearly 3 hours of instrumental hymns, on piano, for any funeral service. Featuring songs like &quot;Amazing Grace&quot;, &quot;It is Well&quot;, &quot;How Great Thou Art&quot;, &quot;Great is Thy Faithfulness&quot; and MANY more! ",UserResponseWrapper,User,Matt Fouch,spotify:user:1255262963,1255262963,https://open.spotify.com/playlist/33YCUbN5FguFLVtNZttN1t,spotify:playlist:33YCUbN5FguFLVtNZttN1t
Songs to play at my funeral,All songs I like,UserResponseWrapper,User,Joshua Baxter,spotify:user:2021jbaxter-us,2021jbaxter-us,https://open.spotify.com/playlist/3AGmkuDxOiBYwxqhdCZ8b3,spotify:playlist:3AGmkuDxOiBYwxqhdCZ8b3
Funeral of the Last Survivor ,,UserResponseWrapper,User,Josh0205,spotify:user:tijzj4tc7ucblecj24web6d8d,tijzj4tc7ucblecj24web6d8d,https://open.spotify.com/playlist/6nFB62qQCfXUGIP9sIimBY,spotify:playlist:6nFB62qQCfXUGIP9sIimBY
Songs I want at my funeral ❤️,,UserResponseWrapper,User,Natalie 🫶✌️🤭,spotify:user:g40o57e59x4twqqcl123hcvtj,g40o57e59x4twqqcl123hcvtj,https://open.spotify.com/playlist/5LBIpfxMtJVkC6HJOuX1If,spotify:playlist:5LBIpfxMtJVkC6HJOuX1If
the kids are in town for a funeral,,UserResponseWrapper,User,laney,spotify:user:angellaney522,angellaney522,https://open.spotify.com/playlist/0LYq3XeiK4HcgcfOZywiDF,spotify:playlist:0LYq3XeiK4HcgcfOZywiDF
El Funeral de la Canoa Radio,"With Jowell & Randy, Jamsha, Tego Calderón and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8IEBYGD3znXk,spotify:playlist:37i9dQZF1E8IEBYGD3znXk
Songs to play at my funeral :D,,UserResponseWrapper,User,Memesuga01,spotify:user:harukananase38,harukananase38,https://open.spotify.com/playlist/2DLGH3IjnlpsVuSosBZ9ji,spotify:playlist:2DLGH3IjnlpsVuSosBZ9ji
Funeral Radio,"With Mon Laferte, León Larregui, Jósean Log and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8QKbBkoF2Gp4,spotify:playlist:37i9dQZF1E8QKbBkoF2Gp4
Funeral Derangements Radio,"With Ice Nine Kills, We Came As Romans, Architects and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8MfQpIeS6thE,spotify:playlist:37i9dQZF1E8MfQpIeS6thE
Hospice - Songs for the dying and grieving ,Made by a hospice worker to play at bedside,UserResponseWrapper,User,Anna Cannard,spotify:user:1253761246,1253761246,https://open.spotify.com/playlist/07Su59wkaxEO9r0HSPLly3,spotify:playlist:07Su59wkaxEO9r0HSPLly3
Play at my funeral🥀,The songs that get me through life,UserResponseWrapper,User,Kaylana Renee Hoffman,spotify:user:12173546527,12173546527,https://open.spotify.com/playlist/1QNuuvFzJMBsqKHph5PyZp,spotify:playlist:1QNuuvFzJMBsqKHph5PyZp
Funeral Playlist ,,UserResponseWrapper,User,Kassy,spotify:user:9qqr6b52ba42foh98xaj3lmk1,9qqr6b52ba42foh98xaj3lmk1,https://open.spotify.com/playlist/0yc9HQyTck1nbTCAVNEUDk,spotify:playlist:0yc9HQyTck1nbTCAVNEUDk
the pain of losing a pet.,wishing you comfort. thank you for saving my playlist 🤍,UserResponseWrapper,User,Amenron🌙,spotify:user:1n5eneb3pncc0mv2npkyr7yj8,1n5eneb3pncc0mv2npkyr7yj8,https://open.spotify.com/playlist/4WtviCaJGY41Z2AwpJ01L1,spotify:playlist:4WtviCaJGY41Z2AwpJ01L1
Funeralopolis - 2004 Remaster Radio,"With Electric Wizard, Sleep, Weedeater and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8Dd6AtLkod5E,spotify:playlist:37i9dQZF1E8Dd6AtLkod5E
Best Farewell Songs of All Time ,,UserResponseWrapper,User,mclovin_music,spotify:user:mclovin_music,mclovin_music,https://open.spotify.com/playlist/7u2dPc0xba6yCtX8svWYld,spotify:playlist:7u2dPc0xba6yCtX8svWYld
Funeral of my thoughts,,UserResponseWrapper,User,☣,spotify:user:316ojm2qwya2tqyyl437lfmuucem,316ojm2qwya2tqyyl437lfmuucem,https://open.spotify.com/playlist/6Up8erNbW8xRctoS03E1fF,spotify:playlist:6Up8erNbW8xRctoS03E1fF
Funeral playlist 🙏🤭,,UserResponseWrapper,User,dingoshome,spotify:user:n68hkonqfb9dox0eh3xxhtq2d,n68hkonqfb9dox0eh3xxhtq2d,https://open.spotify.com/playlist/7MQDioMeZVOHugNsLI7b3S,spotify:playlist:7MQDioMeZVOHugNsLI7b3S
my funeral pres,,UserResponseWrapper,User,tomeme,spotify:user:kw7zv8o4j27m9754i6l4a7x5t,kw7zv8o4j27m9754i6l4a7x5t,https://open.spotify.com/playlist/3qonlVyIKBOh7dDhA4mUlP,spotify:playlist:3qonlVyIKBOh7dDhA4mUlP
Hajime Kashimo (God Of Lightning) Vibes⚡,"&quot;TURN UP THE VOLUME!! BECAUSE THIS IS A FUNERAL FOR THE LIVING!!&quot; I can&#x27;t wait until this 400 year old, &quot;shockingly&quot; hot man gets animated! I WILL be a changed person! (Please check out my other playlists! TY!) ",UserResponseWrapper,User,Flare Potter Malfoy,spotify:user:31dla2ltcl2vzo55eu5kx6vmrxvq,31dla2ltcl2vzo55eu5kx6vmrxvq,https://open.spotify.com/playlist/5TxwUiIXB7FItq4jXRDCs3,spotify:playlist:5TxwUiIXB7FItq4jXRDCs3
Fall In Love (Your Funeral) Radio,"With Erykah Badu, D'Angelo, Floetry and more",UserResponseWrapper,User,Spotify,spotify:user:spotify,spotify,https://open.spotify.com/playlist/37i9dQZF1E8zUw6iOMgoNI,spotify:playlist:37i9dQZF1E8zUw6iOMgoNI
𝔰𝔦𝔵 𝔬𝔣 𝔠𝔯𝔬𝔴𝔰,"no mourners, no funerals &lt;3 [ art by giannyfili !! ]",UserResponseWrapper,User,𝐝𝐚𝐢𝐬𝐢𝐞𝐬,spotify:user:thepixiecraft,thepixiecraft,https://open.spotify.com/playlist/7eeVNcdTtq9mI3oMS6BWaF,spotify:playlist:7eeVNcdTtq9mI3oMS6BWaF
"Death, Loss & Grief - sad songs","Sad songs about sickness, death, loss, hospital visits, dying, addiction, funerals &amp; loss. For loved ones. Kate Bush, Taylor Swift, Sufjan Stevens, Dolly Parton, Smiths, Phoebe Bridges, Eels, Nick Cave &amp; Ed Sheeran (Visiting Hours). 70s, 80s, 90s, 00s, 10s, 20s. Cover art: Edvard Munch",UserResponseWrapper,User,your own kind of music,spotify:user:marinuz,marinuz,https://open.spotify.com/playlist/1nkuDxJt0Pr75lu0u7GSOt,spotify:playlist:1nkuDxJt0Pr75lu0u7GSOt
loud island 26' setlist probably,"ft. three days grace, i prevail, sleep theory, and the funeral portraits  🤑🤑🤑",UserResponseWrapper,User,𝙨𝙤𝙡𝙖𝙧𝙖•🌙,spotify:user:31nf7heeo6hmfxhl55ys4fpvmrhu,31nf7heeo6hmfxhl55ys4fpvmrhu,https://open.spotify.com/playlist/7JO1WAdZQwOBSANvkU34gk,spotify:playlist:7JO1WAdZQwOBSANvkU34gk
Atmospheric Funeral Doom,"My personal introspective doom list, built around Skepticism since 2008. It&#x27;s been slowly curated with songs fitting that specific vibe I&#x27;m going for: intense, melodic, sometimes repetitive, melancholy. It&#x27;s my go-to list for relaxation, introspection and the perfect companion when playing RPGs.",UserResponseWrapper,User,Spiff,spotify:user:gdct97kjrkq0iy0oprtr1urq0,gdct97kjrkq0iy0oprtr1urq0,https://open.spotify.com/playlist/6Omtj2Uj5E9bGEsuBKg3TS,spotify:playlist:6Omtj2Uj5E9bGEsuBKg3TS
