name,description,owner_name,owner_id,owner_image,playlistUrl,uri
Grief Folk,,Caroline Grace Fullerton,1265782750,https://scontent-ord5-1.xx.fbcdn.net/v/t39.30808-1/465283236_27744603148487167_7891050541517149770_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=101&ccb=1-7&_nc_sid=08baa4&_nc_ohc=KYmSboGMTskQ7kNvwHjwXux&_nc_oc=AdpmfYLFyaMQEBLJZ6VnEawSZ_8PmL6jT3Mcxs1YOOSpy2FdMR4E6ARDhiD8V1rvM1Pehrxf5u1WxEYdZO9YfqQy&_nc_zt=24&_nc_ht=scontent-ord5-1.xx&edm=AP4hL3IEAAAA&_nc_gid=GSs6VB4XgzbetOyCpMMOqA&_nc_tpa=Q5bMBQF0Pbd8IHCONHHNkLz84vOO1InFVSrR4kDoKp8-0mgkS2Spu8ig1fmd953I82bHz3lL9xaE&oh=00_AfwpiaWVQS076TDVEkCTf1bE9M_ra6XLK1r4OIcXTpkrFg&oe=69C246B3,https://open.spotify.com/playlist/0o0OKSAZESoH6FRgmJnMNO,spotify:playlist:0o0OKSAZESoH6FRgmJnMNO
RIP mama🕊♥️🕊,,Missmsobo,31oqoqi4lqvryvhhp6yleq7kwjeu,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=1500588413771200&height=300&width=300&ext=1776560888&hash=AT_rnQKB8nZG5wrPi-9YwUJi,https://open.spotify.com/playlist/7ggOaSjpjHkGrXGCDgI5lm,spotify:playlist:7ggOaSjpjHkGrXGCDgI5lm
Play These At My Funeral,,Ashley Sperry,ghp60kr16t671ry8lx9quornb,https://i.scdn.co/image/ab6775700000ee8506fc6e97c8922744dc22cbf1,https://open.spotify.com/playlist/7u44ZSjY2kLDttch0Ox1Yc,spotify:playlist:7u44ZSjY2kLDttch0Ox1Yc
For Her Grave,,Taeke van Waveren,317wvfqvhfyifmeolqcty5od4iru,,https://open.spotify.com/playlist/6hji6KvYebHnZgBazCeDC1,spotify:playlist:6hji6KvYebHnZgBazCeDC1
After the Burial,,zachg,n3rlkj1o6t22eokr5p5ama30o,,https://open.spotify.com/playlist/0sRv97KOlul3R6zG1hvk2w,spotify:playlist:0sRv97KOlul3R6zG1hvk2w
TURN UP THE VOLUME!! BECAUSE THIS IS A FUNERAL FOR THE LIVING!!,,Ray Montalvo IV,psychic_paper,https://i.scdn.co/image/ab6775700000ee8595c01225d9a22b8b8bba06db,https://open.spotify.com/playlist/6aIxyrLXE3cYUS14CWYtGq,spotify:playlist:6aIxyrLXE3cYUS14CWYtGq
98 Rock Spring Thing Returns,"Three Days Grace with I Prevail, Sleep Theory, and The Funeral Portrait              CFG Bank Arena, Baltimore, MD              March 13,2026",zorty63,zorty63,https://i.scdn.co/image/ab6775700000ee85e342b90859bfd1369aefdfea,https://open.spotify.com/playlist/7FYm40gUHupIcpNlzJjMeL,spotify:playlist:7FYm40gUHupIcpNlzJjMeL
Casa funeraria,,Mark 89,tf6zmjif965w01wxn2y3in4hc,https://i.scdn.co/image/ab6775700000ee8539aaae05d4fad58d97995113,https://open.spotify.com/playlist/2AXPzgaDIFwNUHJDpZDB3q,spotify:playlist:2AXPzgaDIFwNUHJDpZDB3q
Funeral playlist,Should be played at my funeral,Anthony,31lklomqatrfjt4vvfhrypoedn5e,https://i.scdn.co/image/ab6775700000ee85ed2ba50ec93459497a11d4dc,https://open.spotify.com/playlist/1x7VhxAjH0pa9VQdNgqHnW,spotify:playlist:1x7VhxAjH0pa9VQdNgqHnW
grief.,i miss my brother.,sophia watts,31br7i2cw4ude6puogaqcthaa2ba,https://i.scdn.co/image/ab6775700000ee85907c5a2033d36f0efe0326d9,https://open.spotify.com/playlist/3tqlJAS3aRKNc8zUT1wock,spotify:playlist:3tqlJAS3aRKNc8zUT1wock
This Is Funeral Oration,"This is Funeral Oration. The essential tracks, all in one playlist.",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1DZ06evO24k2c5,spotify:playlist:37i9dQZF1DZ06evO24k2c5
Funeral Playlist,"If I was good enough to earn a funeral (let alone people to attend), this is the vibe. ",Jusinojh,jh7r3crjhyx0ew3b6ezl5ykp5,,https://open.spotify.com/playlist/55SJFLw8DcyHfJ6H6pg8V8,spotify:playlist:55SJFLw8DcyHfJ6H6pg8V8
Rest In Peace (RIP),"A playlist for every Loved One we&#x27;ve lost. Just for remembering them and telle them wherever they are, that we still thinking about them and we still love them. Rest In Peace my Love, Father, Mother, Sister, Brother, GrandMa, GrandPa, Anty, Uncle, my Friend. Hope we see us again🙏🏿.",Sop Soppi,96eh39laa49jqeul2ipucysis,,https://open.spotify.com/playlist/7sjjwgXkg1KWeTThOcgEAr,spotify:playlist:7sjjwgXkg1KWeTThOcgEAr
She Wants Revenge / Rosegarden Funeral Party - 4/23 LA,,Abe,abezawesome,https://i.scdn.co/image/ab6775700000ee851d59b3a23e1fd560d9b250f3,https://open.spotify.com/playlist/0NUZ6OIilNQjm8rIzVL5vZ,spotify:playlist:0NUZ6OIilNQjm8rIzVL5vZ
quietly dying,,Hollow22,omv8q0ejj5l3y6i67y1wlkj1s,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=445972193177157&height=300&width=300&ext=1776542685&hash=AT_quie94GYe4Feiqn1Ao93B,https://open.spotify.com/playlist/32is9tDSDmLxOlwmr2ZJuI,spotify:playlist:32is9tDSDmLxOlwmr2ZJuI
⏳️,"Surviving off of pure vibes at this point--if I kms, play this playlist at my funeral &lt;3 || Current favorite artists: hannah bahng, haiden hendedson, mico",tess4fun ⋆ °. ✮ ˙,p8r2qit4b13mcgqc6cdu553an,https://i.scdn.co/image/ab6775700000ee8570450b7638530ea6cbef8c07,https://open.spotify.com/playlist/4Gyq7Nl57UfNJQYkjSVHJb,spotify:playlist:4Gyq7Nl57UfNJQYkjSVHJb
Southern Country Gospel Funeral Songs,,fire2209-us,fire2209-us,,https://open.spotify.com/playlist/04syOMBcgF5HeS21c1aLfo,spotify:playlist:04syOMBcgF5HeS21c1aLfo
Play this at my funeral,,Dakamoral@gmail.com,31nojldrhz24qchq2lhqk5ky42ii,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=307605507575781&height=300&width=300&ext=1776544050&hash=AT8X__Hr4ZNmMi883FmsofnF,https://open.spotify.com/playlist/4RxNnN2e9dPdD5f4RJn3Kk,spotify:playlist:4RxNnN2e9dPdD5f4RJn3Kk
Play these at my funeral,"Please play at wake, viewing, service, and the reading of my will.",John 🪓💽,mzbtbblh0ivuxm5bvoqxf4v4o,https://i.scdn.co/image/ab6775700000ee8549d6b0949b08ad330ee22141,https://open.spotify.com/playlist/2g3bWJ2j2pZQwQ6xewR8aV,spotify:playlist:2g3bWJ2j2pZQwQ6xewR8aV
Hu tao playlist (⁠.⁠ ⁠❛⁠ ⁠ᴗ⁠ ⁠❛⁠.⁠),"Hu Tao is a reverent funeral director,influential poet and spirit soother carrying rituals that cleanse the evils from gods",Gorou,31rq5i5l4uxvgd4hb3xyq34hg2bu,https://i.scdn.co/image/ab6775700000ee855c47bfa856beffc7a9a91544,https://open.spotify.com/playlist/25YDhp0QdKfoonhkf7qPl9,spotify:playlist:25YDhp0QdKfoonhkf7qPl9
"[2026.03.06] Twin Cities Takeover : Three Days Grace - I Prevail, The Funeral Portrait, Sleep Theory",,RS II,121602836,https://i.scdn.co/image/ab6775700000ee851faa0fa86a5d6888b002eaa9,https://open.spotify.com/playlist/5RQAIMuFv1zJEuwoDUgUOZ,spotify:playlist:5RQAIMuFv1zJEuwoDUgUOZ
Play them Blues at my Funeral Radio,"With Hammer to the Cross, OUTLAW GOSPEL, Christian Music Creations and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E8NGFgPw19yRM,spotify:playlist:37i9dQZF1E8NGFgPw19yRM
Funeral playlist ,,Iker.Bustamante,bustamante913,https://i.scdn.co/image/ab6775700000ee857d998d56d1db7c699f9ba147,https://open.spotify.com/playlist/2i3MHXimIseO4hSFEncZJX,spotify:playlist:2i3MHXimIseO4hSFEncZJX
"if you played these at my funeral and I dont sing, Im dead fr 😔",,Scarlette,31zdccjfrv2dx2bjgbtsgvlb7xxq,https://i.scdn.co/image/ab6775700000ee85ca03a9961aa8c7b7b1b13ee7,https://open.spotify.com/playlist/3RlLqT6Qna5uBo7WwoRRI2,spotify:playlist:3RlLqT6Qna5uBo7WwoRRI2
Funeral Radio,"With Jas Von, Lou Ridley, Rayna Magee and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E8LDPPCIDiQ3R,spotify:playlist:37i9dQZF1E8LDPPCIDiQ3R
‎ ,,A,jvw086xq4rxjekge4q8jyaqnm,https://i.scdn.co/image/ab6775700000ee851ed0b8a2d4e1874a615f9c02,https://open.spotify.com/playlist/0Csb8WRsNnGDOVWhSYzKKk,spotify:playlist:0Csb8WRsNnGDOVWhSYzKKk
A lesbian died on this bed,"How tragic, this is what played during the funeral.",Ravaged Rat,jgptxtbyn4ngacao262zu6pe7,https://i.scdn.co/image/ab6775700000ee8598c0d8a52285dae3e0c838b2,https://open.spotify.com/playlist/5Jy5ZdW6joHObyDg7BUrzM,spotify:playlist:5Jy5ZdW6joHObyDg7BUrzM
D.r.i.p. (don't rest in peace),Long ahhh funeral,UNJU5T,31lc2wwh56tucl5sx3v64ierczzu,https://i.scdn.co/image/ab6775700000ee851502705fe461eb5b8fec3dbe,https://open.spotify.com/playlist/5oiFoyzmvbn1fTWfbr0A8e,spotify:playlist:5oiFoyzmvbn1fTWfbr0A8e
Grief Journey,,Debbie Hales,1270549172,https://scontent-ord5-3.xx.fbcdn.net/v/t39.30808-1/648799414_10241427639889988_7489434156935583575_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=110&ccb=1-7&_nc_sid=08baa4&_nc_ohc=lR60ByQYQ2AQ7kNvwHuFYly&_nc_oc=AdrfstQYgWpmFmwyuGOAbYUYHtuCKzzJPrtOSiUgE5PTXydrWLeJNhXkQcL0tOpI889rBk2gLN3wfUDSEdqzOWgl&_nc_zt=24&_nc_ht=scontent-ord5-3.xx&edm=AP4hL3IEAAAA&_nc_gid=fNoOOOEjuZ2SyD46eZkHNQ&_nc_tpa=Q5bMBQHfQCyQi02bPYaUG8ZDU0084-pxLiQIqdUoyyBY5Ixyj2yFxaWxtUGApNoRgASm01wkjo32&oh=00_AfzZdk7z8U0hQk8KsHUwLZ-7cbx7Gppwl2o0_yc47BxKlw&oe=69C1E5A4,https://open.spotify.com/playlist/7fGlHP4RjamDX3Xm2jOTgr,spotify:playlist:7fGlHP4RjamDX3Xm2jOTgr
Grief Mix,,BerriesTakingOverTheEarth,vh6dwd4bwltxi4y6yohuxev6t,https://i.scdn.co/image/ab6775700000ee85cfc5aeb5bb84c7d83704706b,https://open.spotify.com/playlist/5QsNkT2OrWyAepgTzJVGUg,spotify:playlist:5QsNkT2OrWyAepgTzJVGUg
songs to play at my funeral,on full blast,shiningchi,w9ddsa0ut75nrgcygy0o7sdq5,https://i.scdn.co/image/ab6775700000ee856fcb3c759a624fe7a087ebba,https://open.spotify.com/playlist/6u68OtlxEqUtqz2kyN69dj,spotify:playlist:6u68OtlxEqUtqz2kyN69dj
The Grief Playlist,A playlist for when God says no. Good songs for grief and lament.,Sarah Sparks,121436318,https://i.scdn.co/image/ab6775700000ee85c75388bc86b55fb92eb73882,https://open.spotify.com/playlist/4BTczhNEhozscFgVVcxNlR,spotify:playlist:4BTczhNEhozscFgVVcxNlR
Calmly dying,,1Elise2manyplaylist,31u7w2szjsfmbbrtkdublhmozumu,https://i.scdn.co/image/ab6775700000ee8546055d52c06b562985f06450,https://open.spotify.com/playlist/7jyZCLUEP7Bxn9F8fdHtVQ,spotify:playlist:7jyZCLUEP7Bxn9F8fdHtVQ
rap about grief,,Kyle Adams,1292814753,https://scontent-ord5-2.xx.fbcdn.net/v/t39.30808-1/470168810_3311615158972523_8596378389080460793_n.jpg?stp=dst-jpg_s320x320_tt6&_nc_cat=102&ccb=1-7&_nc_sid=08baa4&_nc_ohc=cO3zurVcbO8Q7kNvwHRI_i3&_nc_oc=Adq_BFF7FZtyElXu1bt7GpMDMdEWsq8Mb4nmdie2slob1tPaUmKio6Lvsg-mcKWAxs3qTBBR4_4QYYnbpL32F04U&_nc_zt=24&_nc_ht=scontent-ord5-2.xx&edm=AP4hL3IEAAAA&_nc_gid=wxACsXT0xpQ1zzKHeZ4j7w&_nc_tpa=Q5bMBQF8FgNjEHgX0sThR5HRTDetWUNM_2JX5vEcuoIkH54Bd8lkXExeLQeI9gzew0jSJwmE_NUL&oh=00_AfwOMux8nAoIPMEFfZpH6txk-qqIh2yxqruYbr7yF11QGg&oe=69C24B92,https://open.spotify.com/playlist/7Esbli45CMBkfRqr4CE77m,spotify:playlist:7Esbli45CMBkfRqr4CE77m
play this during my funeral,,averie,q3xshmbxe35s3lmgeb0mb9w0d,https://i.scdn.co/image/ab6775700000ee856fd83a23d4006cde6d7cee33,https://open.spotify.com/playlist/51yrI8dLybxSo0ZjPuT183,spotify:playlist:51yrI8dLybxSo0ZjPuT183
my funeral,please play when i die so i can listen in the afterlife and won&#x27;t cry when i&#x27;m reborn :&#x27;) ,Joe Allen-Ogsbury,jogsbury98,https://i.scdn.co/image/ab6775700000ee851a2b0ebe149e60f81fc71211,https://open.spotify.com/playlist/1vvCSLT4801QOwp47sClHR,spotify:playlist:1vvCSLT4801QOwp47sClHR
The Best Country Songs About Death,,Holler,tuv2eiwirhcfyt39mtgzuucqx,https://i.scdn.co/image/ab6775700000ee85ebc5903083a922b4b588936a,https://open.spotify.com/playlist/0MMWjbJguIo330PgLyxCN7,spotify:playlist:0MMWjbJguIo330PgLyxCN7
a grieving widow  🕸️ Widowmaker playlist,,KIOYARII,vickyngaayk,https://i.scdn.co/image/ab6775700000ee85d69d6c83cd8834a95f918cdc,https://open.spotify.com/playlist/7sAzPFub0JDMEiAeBxhaBc,spotify:playlist:7sAzPFub0JDMEiAeBxhaBc
Late Night Mournings 🫥,,Ryan Marcos,22bt4hla5i2qw4x2nknb6ozvi,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=274736902700157&height=300&width=300&ext=1776522509&hash=AT8ezQimY8a-DFWqNGvFAM8A,https://open.spotify.com/playlist/7lwSQNZywZm3sRzArJxhN1,spotify:playlist:7lwSQNZywZm3sRzArJxhN1
buyback funeral,no explicit songs in snoopy&#x27;s house,tominthestockroom,tominthestockroom,,https://open.spotify.com/playlist/2te5b9ckO8gQrWOt1gDDSD,spotify:playlist:2te5b9ckO8gQrWOt1gDDSD
Missing someone who passed away ,Fly high my lola,Nathaniel Andrei Anastacio,31q7swdogc6pfbbqlbztuciqxk74,,https://open.spotify.com/playlist/4g2mNzIuk0XpEv91HuyJat,spotify:playlist:4g2mNzIuk0XpEv91HuyJat
My Favorite Funeral Songs,"A playlist with whatever genre or mood you&#x27;re feeling feat. Juice WRLD, Trippie Redd,  Juice Unrealeased, A Boogie wit da Hoodie, Lil Tecca and many others",Ari Rene,31vbjqmop33g5p5ak5tkzw56x6q4,https://i.scdn.co/image/ab6775700000ee85c690a081fea1565004d72a6a,https://open.spotify.com/playlist/7ltFk7WZ1ypHpc9ffUXzud,spotify:playlist:7ltFk7WZ1ypHpc9ffUXzud
♡Rosegarden Funeral Party ♡,,#Strawberrygirl,le4knsdpwsawyz71wj3gi2t4w,,https://open.spotify.com/playlist/2Dk36YhUDYMhqdEphuuziF,spotify:playlist:2Dk36YhUDYMhqdEphuuziF
Grief Music,,RetroMenaceZane,21r246z4ov7hjzyrma43c6j2q,https://i.scdn.co/image/ab6775700000ee858c35586af4feef10970b10b5,https://open.spotify.com/playlist/5yJqr01NWkAnzfdwgtikd3,spotify:playlist:5yJqr01NWkAnzfdwgtikd3
for my funeral,,harleykat,harleykat,,https://open.spotify.com/playlist/6idDYnaNqtniEVLsmA47NY,spotify:playlist:6idDYnaNqtniEVLsmA47NY
Funeral Canticle Radio,"With Academy of Ancient Music, Henry Purcell, Henryk Górecki and more",Spotify,spotify,https://i.scdn.co/image/ab6775700000ee8555c25988a6ac314394d3fbf5,https://open.spotify.com/playlist/37i9dQZF1E8EKPHRPvXDaA,spotify:playlist:37i9dQZF1E8EKPHRPvXDaA
Diggy Graves: Crash My Funeral Tour 2025,With Resentvul ,StephB,jeepgirltj,,https://open.spotify.com/playlist/2h9SUDAxSmdX7epIYWztgP,spotify:playlist:2h9SUDAxSmdX7epIYWztgP
Three Sleep Funeral,,joshualockhart15,joshualockhart15,,https://open.spotify.com/playlist/2GwKVkO19q4fi7qD00g0Gn,spotify:playlist:2GwKVkO19q4fi7qD00g0Gn
Grandpa’s Funeral,,Kendyll Gerstner,22ymqmjn6leeqpfetzog6ppny,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=10203560259065685&height=300&width=300&ext=1776551329&hash=AT-lwJItuPleQ1zh11VjDc_g,https://open.spotify.com/playlist/30mj2lulUwQtso9vdZiqCq,spotify:playlist:30mj2lulUwQtso9vdZiqCq
play ts at my funeral or im bringing you to hell with me,,Ison,31fcm4bfo4zstqhh5e5immsvjtge,https://i.scdn.co/image/ab6775700000ee853a99aea544162355db74da9f,https://open.spotify.com/playlist/59ll7ipE62u6Qlm6VFqmoJ,spotify:playlist:59ll7ipE62u6Qlm6VFqmoJ
Funeral Playlist,,IHatePeople,9kefxl5tf3ipuzivhah80r8kv,https://i.scdn.co/image/ab6775700000ee855d0e39bb625846b8c0b10322,https://open.spotify.com/playlist/55dQSWtIp9rKaOo9pVp8fG,spotify:playlist:55dQSWtIp9rKaOo9pVp8fG
Mom’s Funeral,,Lynn Rose,31luwpq7ffs3ineivrqt5se54jlm,,https://open.spotify.com/playlist/2HjYKGz7LQsfooaQYkK4X6,spotify:playlist:2HjYKGz7LQsfooaQYkK4X6
Funeral playlist,,Debra's Music,z7iadixprq8qdqdakzyeox84w,,https://open.spotify.com/playlist/3p5Uip1N0k3IvPX6pge5nY,spotify:playlist:3p5Uip1N0k3IvPX6pge5nY
NO QUIERO FUNERAL,,J.M. L.Villegas,gerardolv23,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=1458460070838743&height=300&width=300&ext=1776550097&hash=AT-OyexG7Kt49olvNI44bLST,https://open.spotify.com/playlist/6VyyOSdgIQoW2YNxVUSKeR,spotify:playlist:6VyyOSdgIQoW2YNxVUSKeR
Good Songs,"To be played at funerals, weddings, and divorces",K de los Cuetos,l39383e3pj4vqahcgp7nl6vto,https://i.scdn.co/image/ab6775700000ee850d143b993686796d31386e85,https://open.spotify.com/playlist/3yOcBiQI9LmZjhwLHaFMb1,spotify:playlist:3yOcBiQI9LmZjhwLHaFMb1
put this on at my funeral 🚬😮‍💨,,stin,31scpwbc7yuim4ntolfzepwxwa3u,https://i.scdn.co/image/ab6775700000ee85e0edfd57b97d6737384cf581,https://open.spotify.com/playlist/0A8ut2B0YlReQV5pKb2Dkv,spotify:playlist:0A8ut2B0YlReQV5pKb2Dkv
Funeral Playlist,,Mark Saari,solidpar,https://i.scdn.co/image/ab6775700000ee854b4988649d2b822bfbe570a5,https://open.spotify.com/playlist/7KGKxia4ee7ewccq9X8WQn,spotify:playlist:7KGKxia4ee7ewccq9X8WQn
Sonnets for the recently deceased,,Alkvist,dyyezr46cvq7btru7wc0ilrx0,https://i.scdn.co/image/ab6775700000ee85f211ecb14e7f028eda6b0b69,https://open.spotify.com/playlist/2z1auUTY8vcjVwAt45qI5f,spotify:playlist:2z1auUTY8vcjVwAt45qI5f
Requiem: Listen to the River Sing Sweet Songs,"These are songs I would like my friends to play at my funeral or after I die. They are songs I&#x27;ve loved over the years, so it&#x27;s like tripping through the past. But they are also songs I want to share with my loved ones, my family and friends. Death is not an end, it is a transition. Enjoy the ride!",brad1950,brad1950,https://i.scdn.co/image/ab6775700000ee857f457069620c24c7999af125,https://open.spotify.com/playlist/4gfcr5GalmQqcmblv0GFEt,spotify:playlist:4gfcr5GalmQqcmblv0GFEt
Chanson funerailles,,Carl Bedard,22r5l4or5mfq73oga5l5pishq,https://platform-lookaside.fbsbx.com/platform/profilepic/?asid=280221735670457&height=300&width=300&ext=1776540247&hash=AT9d5v0L5XhYtzCsINyZfUws,https://open.spotify.com/playlist/0co4lQkpwGdLJ8ZXQ5nsNI,spotify:playlist:0co4lQkpwGdLJ8ZXQ5nsNI
Losing a child(Grief),"The grief  and rage of losing a child could burn down the world • Grieving, grieving constantly grieving. I mourn what could have been, what will not be, what I can’t save. • This playlist can&#x27;t even show the tiniest pain of losing a child",Sonder,uk66xoz5rwkz4ubz7y8g7h6w1,https://i.scdn.co/image/ab6775700000ee85c50d8589841b24067aa0e27f,https://open.spotify.com/playlist/5hzD3LnfUFlXiKBI7IamJ6,spotify:playlist:5hzD3LnfUFlXiKBI7IamJ6
My funeral playlist pt2,,baconbunch413,baconbunch413,,https://open.spotify.com/playlist/5ZxrM26jIPlsM3Z5BWSay6,spotify:playlist:5ZxrM26jIPlsM3Z5BWSay6
play this at my funeral,12-12-2025,‘𝐟iliz🕸️,rbcqw029xj8d84uorycekym6c,https://i.scdn.co/image/ab6775700000ee8568a0f23d7432bd72cb9b865b,https://open.spotify.com/playlist/7uRgZKvLHbQYlceedN6Gxt,spotify:playlist:7uRgZKvLHbQYlceedN6Gxt
i eat cement,play this at my funeral,Charlie,31h4rp66iysx7uwacrff6jhddzhu,https://i.scdn.co/image/ab6775700000ee85a24713b1117f8df421dda3e9,https://open.spotify.com/playlist/4UIn0ghAT8Dp00kNpZRgJb,spotify:playlist:4UIn0ghAT8Dp00kNpZRgJb
my cat passed away,13&#x2F;05&#x2F;23 &quot;loving you changed my life Losing you did the same&quot;,⋆｡°✩,31esjb72c37lesn2tjpyfmcc7uyy,https://i.scdn.co/image/ab6775700000ee85f2f66f0a3d255da410719658,https://open.spotify.com/playlist/6wgRZ0oh88zZh38NK0GXQJ,spotify:playlist:6wgRZ0oh88zZh38NK0GXQJ
